name,address,suburb,state,postcode,type,places,rating,qa1,qa2,qa3,qa4,qa5,qa6,qa7,start_time,end_time,latitude,longitude
First Grammar Baulkham Hills,24 Witonga Crescent,BAULKHAM HILLS,NSW,2153,LDC,39,X,X,X,X,M,X,X,M,07:30,18:30,-33.75912224,151.00513791
Wollondilly Family Day Care,42a Menangle St,PICTON,NSW,2571,FDC,,M,M,M,M,M,M,M,M,05:30,19:30,-34.16929261,150.61251876
Wollongbar Community Pre-School,"Preschool, 5 Hall Court",WOLLONGBAR,NSW,2477,PKS,33,M,M,M,M,M,M,M,M,08:00,15:30,-28.82432414,153.41980107
The Learning Cottage Wollongbar,3 Smiths Lane,WOLLONGBAR,NSW,2477,LDC,46,M,M,M,M,M,M,M,M,07:00,18:00,-28.82931842,153.42140959
Wollongong City Community Preschool,261 Keira Street,WOLLONGONG,NSW,2500,PKS,32,X,X,X,X,X,X,X,X,08:30,16:00,-34.42735066,150.89324115
Poka Dot Kids Early Learning Centre Wollongong,366 Keira Street,WOLLONGONG,NSW,2500,LDC,28,M,M,M,M,M,M,M,M,06:30,18:00,-34.43590995,150.89140017
Wollongong Cottage Kindergarten,32 Atchison Street,WOLLONGONG,NSW,2500,LDC,24,M,M,M,M,M,M,M,M,08:00,17:00,-34.42802768,150.89009267
Wombat Willows Early Learning Centre,30 Victoria Road,MACQUARIE FIELDS,NSW,2564,LDC,45,M,M,M,M,M,M,M,M,07:00,18:00,-33.98361323,150.89072484
Woodenbong Pre-school,Lindsay Street,WOODENBONG,NSW,2476,PKS,20,M,M,M,M,M,M,M,M,08:30,15:30,-28.39274231,152.61064713
Woodrising Natural Learning Centre Incorporated,80 Hayden Brook Rd,WOODRISING,NSW,2284,LDC;OSHC_V,39,X,X,X,X,X,X,M,X,07:00,18:00,-32.98441518,151.60680775
Bee Happy Child Care Centre,1 Watson Ave,CROYDON PARK,NSW,2133,LDC,36,M,M,M,M,M,M,M,M,07:30,18:00,-33.89400587,151.1163976
Woodstock Child Care Centre,92 Fitzroy Street,BURWOOD,NSW,2134,LDC,63,M,M,M,M,M,M,M,M,07:00,18:00,-33.88189272,151.10430907
